jobpost,Title,Company,AboutC
"Ar & Ar Design Construction LLC
TITLE:  Head of Technical Service Department
TERM:  Full time
DURATION:  Permanent
LOCATION:  Yerevan, Armenia
JOB DESCRIPTION:  Ar & Ar Design Construction LLC is seeking for a Head
of Technical Service Department to effectively organize and manage
warranty and post warranty service, as well as start-up and commissioning
of HVAC (heating, ventilation, and air conditioning) systems.
JOB RESPONSIBILITIES:
- Control the quality and in-time completion of commissioning and service
works;
- Responsible for daily organization and management of manpower;
- Provide necessary trainings to the service technicians;
- Provide technical support to service operations;
- Provide installation cost estimates and calculations for quotations
prepared by sales team;
- File service reports and other documents;
- Work closely with customers and other departments within the company;
- Liaise with major clients and build long term relationships by actively
promoting and managing multi-level service contracts;
- Attract new customers, negotiate contracts and increase sales;
- Lead and co-ordinate technical root cause analysis, risk assessment,
problem resolution and close out;
- Report to the top management.
REQUIRED QUALIFICATIONS:
- Higher Technical (Engineering) education;
- Minimum 2 years of experience at managerial positions;
- Basic knowledge of Electronics and Electro-mechanics;
- Basic knowledge of Thermodynamics, work experience in HVAC field is a
plus;
- Excellent communication and sales skills;
- Ability to work under pressure, high sense of responsibility;
- Computer literacy;
- Excellent knowledge of Armenian and Russian languages; good knowledge
of English language.
REMUNERATION/ SALARY:  Competitive, based on performance.
APPLICATION PROCEDURES:  To apply, candidates are asked to send their CVs
to: hr@... with ""Head of Technical Service Department"" in the
subject line. Shortlisted candidates will be contacted for interview.
Please clearly mention in your application letter that you learned of
this job opportunity through Career Center and mention the URL of its
website - www.careercenter.am, Thanks.
OPENING DATE:  23 June 2014
APPLICATION DEADLINE:  22 July 2014
ABOUT COMPANY:  Ar & Ar Design Construction LLC is an engineering
company in Armenia dealing in the field of HVAC (heating ventilation and
air conditioning).
----------------------------------
To place a free posting for job or other career-related opportunities
available in your organization, just go to the www.careercenter.am
website and follow the ""Post an Announcement"" link.",Head of Technical Service Department,Ar & Ar Design Construction LLC,"Ar & Ar Design Construction LLC is an engineering
company in Armenia dealing in the field of HVAC (heating ventilation and
air conditioning)."
"ACRA Credit Reporting
TITLE:  System Administrator
TERM:  Full time
LOCATION:  Yerevan, Armenia
JOB DESCRIPTION:  N/A
JOB RESPONSIBILITIES:
- Assure monitoring of local network and continuity of work process;
- Responsible for administration and log keeping of local network servers
(Domain Controller, DNS, Mail, Web, Proxy, NAT, firewall, VPN, etc.);
- Responsible for installation, configuration and updates of computer
equipment, network programs, operating system (MS Windows and Linux) and
applications;
- Responsible for antivirus software installation and configuration via
local network monitoring;
- Responsible for repair of damaged computer equipment;
- Perform the maintenance of the network (addresses, equipment, cables,
gateways, etc.).
REQUIRED QUALIFICATIONS:
- University degree in Technology;
- 1 year of professional work experience; 
- Knowledge of Global and Local networks and network protocols (deep);
- Knowledge of Microsoft Windows 2008 AD, DNS, Terminal server, DHCP,
Mail Server, Proxy Server, LAN/ WAN, TCP/ IP networks and Hardware
Troubleshooting/ Testing;
- Knowledge of antivirus protection basics (deep);
- Knowledge of computer engineering structure (intermediate);
- Knowledge of banking Information Systems (intermediate);
- Knowledge of English and Russian languages (to read professional
literature and communicate);
- Experience in local network physical installation;
- Ability to make local network installation;
- Ability to do additional tasks given by the Manager.
REMUNERATION/ SALARY:  235,000 AMD (gross), plus bonus.
APPLICATION PROCEDURES:  To apply for this position, please submit a
detailed resume/ CV in Armenian and/ or English languages to:info@... . Please, clearly mention in the subject line the position
title you are applying for. Only short listed candidates will be notified
for the interview.
Please clearly mention in your application letter that you learned of
this job opportunity through Career Center and mention the URL of its
website - www.careercenter.am, Thanks.
OPENING DATE:  13 May 2013
APPLICATION DEADLINE:  21 May 2013
ABOUT COMPANY:  ""ACRA Credit Reporting"" CJSC is a Credit bureau in
Armenia, which was founded in 2004. Among shareholders of the company are
the Central Bank of RA, commercial banks operating in Armenia and others.
It is defined as a data bank that keeps records of consumers' payment
patterns of various types of credit obligations. Additional information
about ""ACRA Credit Reporting"" CJSC can be found at: www.acra.am.
----------------------------------
To place a free posting for job or other career-related opportunities
available in your organization, just go to the www.careercenter.am
website and follow the ""Post an Announcement"" link.",System Administrator,ACRA Credit Reporting,"""ACRA Credit Reporting"" CJSC is a Credit bureau in
Armenia, which was founded in 2004. Among shareholders of the company are
the Central Bank of RA, commercial banks operating in Armenia and others.
It is defined as a data bank that keeps records of consumers' payment
patterns of various types of credit obligations. Additional information
about ""ACRA Credit Reporting"" CJSC can be found at: www.acra.am."
"""Fast Credit"" LLC
TITLE:  Adobe Flash (AS2/AS3) Developer
OPEN TO/ ELIGIBILITY CRITERIA:  All motivated and qualified candidates
START DATE/ TIME:  ASAP
DURATION:  Long term
LOCATION:  Yerevan, Armenia
JOB DESCRIPTION:  ""Fast Credit"" LLC is looking for an experienced
professional to fulfill the position of an Adobe Flash (AS2/AS3)
Developer.
JOB RESPONSIBILITIES:
- Work with the team on supporting and enhancing existing web
application;
- Maintain application on daily basis;
- Maintain the server infrastructure;
- Develop new features and extend application functionality.
REQUIRED QUALIFICATIONS:
- University degree in Computer Science or a related field;
- Minimum 3 year experience in Flash development;
- Knowledge of PHP5, SQL, JavaScript (AJAX), HTML/ XHTML, CSS, XML and
XSL;
- Good knowledge of MySQL and query optimization;
- Solid skills with Linux and related infrastructure is a plus;
- Excellent communication and interpersonal skills;
- Good knowledge of English language.
APPLICATION PROCEDURES:  Please submit your resumes in Armenian and
English languages to: fastcreditltd@... . In the subject line of
your e-mail message, please mention the title of the position you are
applying for.
Please clearly mention in your application letter that you learned of
this job opportunity through Career Center and mention the URL of its
website - www.careercenter.am, Thanks.
OPENING DATE:  15 June 2010
APPLICATION DEADLINE:  09 July 2010
ABOUT COMPANY:  ""Fast Credit"" LLC is a company operating a network of
pawn-shops in Yerevan.
----------------------------------
To place a free posting for job or other career-related opportunities
available in your organization, just go to the www.careercenter.am
website and follow the ""Post an Announcement"" link.",Adobe Flash (AS2/AS3) Developer,"""Fast Credit"" LLC","""Fast Credit"" LLC is a company operating a network of
pawn-shops in Yerevan."
"Micro-enterprise Development Charitable Fund Kamurj
TITLE:  Accountant
TERM:  Full time
START DATE/ TIME:  Immediately
DURATION:  Long term
LOCATION:  Yerevan, Armenia
JOB DESCRIPTION:  MDF-Kamurj is seeking candidates for the positions of
Accountant. The Accountants develop financial reports, track expenses,
monitor the finances of MDF-Kamurj branches and provide support to
branch accountants.
JOB RESPONSIBILITIES:
- Develop financial reports (portfolio reports, balance sheets, income
statements, operating expense reports, bank transactions, etc.);
- Provide guidance and support to branch office accounting staff;
- Monitor the finances of branches;
- Liaise with MDF Kamurj partner banks and conduct bank transfers;
- Develop monthly and quarterly performance reports;
- Input data into the management information system (MIS);
- Maintain filing system for financial reports.
REQUIRED QUALIFICATIONS:
- University degree in the field of finance, economics or technical
sciences;
- At least two years of work experience in accounting;
- Knowledge of accounting standards and tax legislation is a
preference;
- Excellent computer skills, experience in data analysis with MS Excel
(or proficiency in MS Excel);
- Accurate, detail oriented personality, ability to meet deadlines;
- Good interpersonal skills;
- Ability to travel to the organizations regional branches in Armenia;
- Fluency in English language is a plus.
APPLICATION PROCEDURES:  Interested candidates are asked to bring a
letter of interest and CV (in English) to the MDF-Kamurj head office at:
52 Yerznkyan Str., Yerevan (near the metro station Barekamutyun) or
send by e-mail to: alex@.... Tel. 278-624, 278-625, 278-724,
278-725.
Only short listed candidates will be invited for an interview.
Please clearly mention in your application letter that you learned of
this job opportunity through Career Center and mention the URL of its
website - www.careercenter.am, Thanks.
OPENING DATE:  03 July 2007
APPLICATION DEADLINE:  18 July 2007
ABOUT COMPANY:  Micro-enterprise Development Fund Kamurj (MDF-Kamurj) is
a non-profit organization in Armenia created by Save the Children/US and
CRS in 2000. MDF-Kamurj provides micro loans to support
micro-entrepreneurs, particularly women, throughout Armenia.
More information about the company can be found at: www.mdf-kamurj.am.
----------------------------------
To place a free posting for job or other career-related opportunities
available in your organization, just go to the www.careercenter.am
website and follow the ""Post an Announcement"" link.",Accountant,Micro-enterprise Development Charitable Fund Kamurj,"Micro-enterprise Development Fund Kamurj (MDF-Kamurj) is
a non-profit organization in Armenia created by Save the Children/US and
CRS in 2000. MDF-Kamurj provides micro loans to support
micro-entrepreneurs, particularly women, throughout Armenia.
More information about the company can be found at: www.mdf-kamurj.am."
"Center for Agribusiness and Rural Dvelopment (CARD)
TITLE:  Water Service Agency (WSA) Restructuring Advisor
DURATION:  Long term
LOCATION:  Yerevan, Armenia
JOB DESCRIPTION:  In anticipation of upcoming Institutional
Strengthening of Irrigation Management Entities program to be funded by
MCC, CARD Foundation is seeking candidates to fill the position of Water
Service Agency (WSA) Restructuring Advisor.
JOB RESPONSIBILITIES:  As a team member the Advisor will:
- Examine the legal and regulatory framework of WSA branches as well as
their current procedures and, in the light of the spirit of the reforms
initiated by Government and best practices in the industry;
- Propose needed changes in organization, staffing level, staff
profiles, and management and work procedures to provide the incentive
and capacity for branches to perform effectively the tasks with which
they have been charged;
- Identify the nature of strategic and policy issues that may require a
national-level institutional capacity in lieu of the former Central
Administration;
- Prepare background papers to assist in the national discussion on
these strategic and policy issues;
- Support the stakeholders in the dialogue and consideration of options
that will lead to the adoption of change;
- Assist in development and implementation of a training program and
technical assistance and help WSA Branches acquire the technical and
management skills, along with required work tools that would enable them
to assume responsibility for their revised functions; 
- Support in the introduction of GIS based software in WSA branches.
REQUIRED QUALIFICATIONS:
- Minimum 5 years of experience in working with Government agencies and
public sector organizations, water distribution management in Armenia;
- Good knowledge of operations and management of WSA is desirable;
- Knowledge of English language is a plus.
REMUNERATION/ SALARY:  Commensurate  with skills and experience.
APPLICATION PROCEDURES:  Please send a cover letter and a CV
highlighting relevant experience to: cardjobs@...; or deliver a hard
copy to the CARD office at: 74 Teryan St., Yerevan (within the Armenian
Agricultural Academy, entrance from Teryan St.). Please clearly indicate
the position you apply for. No phone calls, please. Only selected
candidates will be contacted for an interview.
Please clearly mention in your application letter that you learned of
this job opportunity through Career Center and mention the URL of its
website - www.careercenter.am, Thanks.
OPENING DATE:  08 August 2007
APPLICATION DEADLINE:  17 August 2007, 8 p.m.
ABOUT COMPANY:  CARD is an impact-based organization originating from
the United States Department of Agricultures 12-year Marketing
Assistance Project providing economic development solutions in the
Caucasus. CARD is dedicated to reducing rural poverty and increasing the
standard of living of its clients by offering a comprehensive, integrated
package of market- and farmer-driven services, including marketing, rural
development and credit.
----------------------------------
To place a free posting for job or other career-related opportunities
available in your organization, just go to the www.careercenter.am
website and follow the ""Post an Announcement"" link.",Water Service Agency (WSA) Restructuring Advisor,Center for Agribusiness and Rural Dvelopment (CARD),"CARD is an impact-based organization originating from
the United States Department of Agricultures 12-year Marketing
Assistance Project providing economic development solutions in the
Caucasus. CARD is dedicated to reducing rural poverty and increasing the
standard of living of its clients by offering a comprehensive, integrated
package of market- and farmer-driven services, including marketing, rural
development and credit."
"Synopsys Armenia SG CJSC
TITLE:  R&D Engineer
TERM:  Full-time
OPEN TO/ ELIGIBILITY CRITERIA:  Software developers
START DATE/ TIME:  01 April 2007
DURATION:  Permanent
LOCATION:  Yerevan, Armenia
JOB DESCRIPTION:  System level programming, USB Driver development under
Linux. Programming languages C/C++.
REQUIRED QUALIFICATIONS:
- MS in Computer Science;
- 5+ years of experience in C/C++ programming; 
- Strong knowledge of Linux kernel programming;
- Knowledge of computer hardware architecture;
- Capability of implementing/defining modules with/without the
supervision;
- Strong ability to read and modify others implementations;
- Good ability to switch quickly from one task to another;
- Ability to work in an energetic fast paced and interrupt driven
environment;
- Ability to execute complicated tasks with minimal supervision;
- Excellent communication skills;
- Fluency in English language;
- Knowledge of USB protocol is a plus.
REMUNERATION/ SALARY:  Highly competitive, with large package of social
benefits.
APPLICATION PROCEDURES:  Please submit your CV (in English, PDF format)
directly to: etroyan@... indicating the position title in the
mail subject. 
Only short-listed candidates will be contacted.
Please clearly mention in your application letter that you learned of
this job opportunity through Career Center and mention the URL of its
website - www.careercenter.am, Thanks.
OPENING DATE:  16 March 2007
APPLICATION DEADLINE:  31 March 2007
ABOUT COMPANY:  For detailed information visit: www.Synopsys.com.
----------------------------------
To place a free posting for job or other career-related opportunities
available in your organization, just go to the www.careercenter.am
website and follow the ""Post an Announcement"" link.",R&D Engineer,Synopsys Armenia SG CJSC,For detailed information visit: www.Synopsys.com.
"K-Telecom
TITLE:  Sales Agent
OPEN TO/ ELIGIBILITY CRITERIA:  No restriction
INTENDED AUDIENCE:  All interested candidates
DURATION:  Permanent
LOCATION:  Yerevan, Armenia
JOB DESCRIPTION:  The Sales Agent will be responsible for finding new
corporate subscribers, establishment and development of strong and long
term relationship.
JOB RESPONSIBILITIES:
- Establish business contracts with potential subscribers;
- Maintain contracts with active clients and gain/ enlist new ones;
- Represent the company and products to customers;
- Inform clientele about new products/ services and changes in the
existing ones;
- Arrange in time deliveries;
- Provide constant sales increase.
REQUIRED QUALIFICATIONS:
- University degree in a relevant field (Economics is preferred);
- Progressive work experience in a similar position;
- Advanced knowledge of product demonstration and sales techniques;
- Excellent communication skills;
- Excellent oral and writing skills in Armenian and English languages;
- Good knowledge of computer applications (MS Windows and MS Office).
APPLICATION PROCEDURES:  Please, email your CV to:salesagent@....
Please clearly mention in your application letter that you learned of
this job opportunity through Career Center and mention the URL of its
website - www.careercenter.am, Thanks.
OPENING DATE:  18 October 2006
APPLICATION DEADLINE:  25 October 2006
ABOUT COMPANY:  ""K-Telecom"" CJSC was established in Armenia in January
2005 as a second mobile network.
----------------------------------
To place a free posting for job or other career-related opportunities
available in your organization, just go to the www.careercenter.am
website and follow the ""Post an Announcement"" link.",Sales Agent,K-Telecom,"""K-Telecom"" CJSC was established in Armenia in January
2005 as a second mobile network."
"Questrade International Inc., Armenian Branch
TITLE:  QA Analyst
TERM:  Full time
LOCATION:  Yerevan, Armenia
JOB DESCRIPTION:  The QA Analyst will provide expertise in the area of
Manual QA activities for applications developed by the Questrade
Technology Group (QTG) department, with particular focus on the trading
platform, web components and high volume data flow and transactions.
JOB RESPONSIBILITIES:
- Write test plans and test cases throughout the development lifecycle;
- Ensure test plans thoroughly cover all requirements and use cases;
- Plan, schedule and perform manual and automated software tests;
- Develop automated regression test suites using automated testing
tools;
- Foster a continuous improvement approach to QA activities;
- Review tools implementations and encourage best practices and sound
design principles, while remaining practical and deadline-driven;
- Train other departments on the use of custom-developed tools;   
- Work closely with the development team to perform early testing on
components prior to integration builds;
- Manage defect tracking; monitor and report the results;
- Report QA status, as appropriate, to keep project stakeholders informed
on deliverables and timelines.
REQUIRED QUALIFICATIONS:
- BS in Computer Science or a related field;
- At least 3 years of experience as a QA Analyst with solid progression
in responsibility;
- Experience with testing high performance systems;
- Working knowledge of Windows Server/ IIS environments; 
- Extensive experience in testing multi-tiered web applications;
- Working knowledge of ANSI SQL;
- Working Knowledge of Linux/ Unix and Windows environments;
- Knowledge of system development lifecycle, methodology and testing;
- Solid knowledge of the quality assurance techniques, testing concepts,
methodologies and tools;
- Expert ability to apply quality assurance knowledge to in-depth testing
and test plans;
- Excellent analytical skills with the ability to investigate and
research multiple sources;
- Excellent interpersonal oral and written communications skills;
- Knowledge of Trading Systems and Trading concepts, particularly within
the Equities realm is considered a very important asset;
- Excellent ability to apply concepts of unit, system, regression,
product, integration and acceptance testing;
- Testing tools - ability to adapt and learn quickly any testing tool;
- Good understanding of automation testing approaches.
REMUNERATION/ SALARY:  Competitive salary, advanced benefit package.
APPLICATION PROCEDURES:  Interested candidates are asked to apply
through:http://ch.tbe.taleo.net/CH06/ats/careers/requisition.jsp?org=QUESTRADE&cws=1&rid=390#.UuEzlxBfqUk
.
Please clearly mention in your application letter that you learned of
this job opportunity through Career Center and mention the URL of its
website - www.careercenter.am, Thanks.
OPENING DATE:  24 January 2014
APPLICATION DEADLINE:  23 February 2014
ABOUT COMPANY:  For more information, please visit: www.questrade.am.
----------------------------------
To place a free posting for job or other career-related opportunities
available in your organization, just go to the www.careercenter.am
website and follow the ""Post an Announcement"" link.",QA Analyst,"Questrade International Inc., Armenian Branch","For more information, please visit: www.questrade.am."
"NairiSoft Inc. Armenia
TITLE:  QA Specialist
TERM:  Full time
DURATION:  Long term
LOCATION:  Yerevan, Armenia
JOB DESCRIPTION:  NairiSoft is seeking an experienced Software Quality
Assurance Specialist to join its team.
JOB RESPONSIBILITIES:
- Assist with the testing life cycle (creation of test scripts,
functional, regression and performance testing, defect management,
result reporting);
- Translate business requirements into test cases;
- Collaborate with development in the design and execution of the QA
Life Cycle;
- Work closely with the product development and client implementation
teams to understand requirements, system specifications and design.
REQUIRED QUALIFICATIONS:
- Bachelors or higher degree in Computer Sciences or a related
discipline;
- 1+ years of experience in a team development environment;
- 1+ years of work experience in Software testing and quality
assurance;
- Experience with C#, ASP.NET and a basic understanding of the HTTP
protocol;
- Good knowledge of SQL language; 
- Knowledge of relational databases;
- Understanding of Software Testing and QA theory;
- Experience in test automation is a plus;
- Excellent English language skills.
REMUNERATION/ SALARY:  Based on experience and capabilities of employee.
APPLICATION PROCEDURES:  Please email your detailed resume to:job@....
Please clearly mention in your application letter that you learned of
this job opportunity through Career Center and mention the URL of its
website - www.careercenter.am, Thanks.
OPENING DATE:  28 October 2008
APPLICATION DEADLINE:  27 November 2008
ABOUT COMPANY:  NairiSoft, Inc. is an international Internet
infrastructure development and consulting company delivering bespoke
business critical solutions using the latest advances in Internet
technology. It was established in January 2000.
----------------------------------
To place a free posting for job or other career-related opportunities
available in your organization, just go to the www.careercenter.am
website and follow the ""Post an Announcement"" link.",QA Specialist,NairiSoft Inc. Armenia,"NairiSoft, Inc. is an international Internet
infrastructure development and consulting company delivering bespoke
business critical solutions using the latest advances in Internet
technology. It was established in January 2000."
"EPAM Systems, Inc
TITLE:  Java Team Leader
TERM:  Full time
START DATE/ TIME:  ASAP
DURATION:  Permanent
LOCATION:  Yerevan, Armenia
JOB DESCRIPTION:  EPAM Systems is looking for experienced Java Team
Leaders to work at Yerevan office.
JOB RESPONSIBILITIES:
- Work as a part of international project teams for leading IT
companies;
- Code in accordance with defined standards;
- Mentor team members as required;
- Perform unit and system integration tests;
- Business trips to Europe and the US  possible.
REQUIRED QUALIFICATIONS:
- 5+ years of progressive experience in Java development;
- Strong knowledge of software architecture, design patterns, and
current technologies;
- Broad knowledge of the Java Platform with specialization in the
creation of multi-tiered applications;
- Deep practical knowledge of performance issues, in particular with
n-tier systems;
- Specific experience in web services using a variety of implementation
technologies;
- Java/J2EE, EJB, JMS, Servlets, JSP, Hibernate, LDAP, XML/XSL, HTML,
JavaScript, Struts, Spring, MVC;
- Oracle/MySQL/MSSQL/PL-SQL/SQL knowledge;
- Working knowledge of tools such as Rational Rose, ERwin, MS Office,
and Visio;
- Object-oriented design using UML;
- Development platforms: Linux/Unix, Solaris and Windows.
Desired Qualifications:
- Possess excellent communication, problem solving and analytical
skills; strong team player;
- Solid technical leadership skills;
- Ability to accurately estimate tasks and meet schedules;
- A strong commitment to always do whats best for the customer;
- Excellent knowledge of spoken and written Russian; 
- Good knowledge of spoken and written English.
REMUNERATION/ SALARY:  Starting from 600 000 AMD net+ bonus programs +
salary revision twice a year+ professional development opportunities +
4-week vacation+ ability to attend trainings and pass certification
exams+ English Language Trainings+ other benefits
APPLICATION PROCEDURES:  Please, email your CVs to: yerevan-hr@....
In the subject line of your e-mail message please mention the title of
the position you are applying for.
Please clearly mention in your application letter that you learned of
this job opportunity through Career Center and mention the URL of its
website - www.careercenter.am, Thanks.
OPENING DATE:  29 September 2008
APPLICATION DEADLINE:  28 October 2008
ABOUT COMPANY:  According to Brown-Wilson Group Survey* EPAM Systems is
the #1 software engineering outsourcing services provider in Central and
Eastern Europe. Founded in 1993, EPAM maintains North American
headquarters in Lawrenceville, NJ. 
Currently there are 4500+ highly qualified IT professionals working at
EPAM Systems. EPAM software development centers are located in Russia,
Hungary, Belarus, Ukraine and Armenia. The company continues its growth
and development. 
Our mission is: ""Delivering excellence in software engineering"" to the
benefit of our clients.
*http://www.theblackbookofoutsourcing.com/top10itooffshoreeasterncentraleurope.html
ADDITIONAL NOTES:   In 2006 EPAM Systems merged with VDI, which had
presence and development expertise in Armenia along with its global
workforce. The combined company has 22 branches in 8 countries with
4500+ employees. 
EPAM is distinguished by its technology expertise, proven by such
customers as SAP, Reuters, Microsoft, BEA Systems, EMC and many others.
The company has a combined expertise in such horizontal solutions as
CRM, ERP, DMS, CMS, SCM, EAI, BI.
----------------------------------
To place a free posting for job or other career-related opportunities
available in your organization, just go to the www.careercenter.am
website and follow the ""Post an Announcement"" link.",Java Team Leader,"EPAM Systems, Inc","According to Brown-Wilson Group Survey* EPAM Systems is
the #1 software engineering outsourcing services provider in Central and
Eastern Europe. Founded in 1993, EPAM maintains North American
headquarters in Lawrenceville, NJ. 
Currently there are 4500+ highly qualified IT professionals working at
EPAM Systems. EPAM software development centers are located in Russia,
Hungary, Belarus, Ukraine and Armenia. The company continues its growth
and development. 
Our mission is: ""Delivering excellence in software engineering"" to the
benefit of our clients.
*http://www.theblackbookofoutsourcing.com/top10itooffshoreeasterncentraleurope.html"
